guuid	mlst
131e5e5f-9e96-4d4e-a0a0-fd3398f6e5c8	95
12cf0731-f4b8-4d9a-9bfe-40bb9a3eceea	69
12cf7289-b9c2-47d1-95d5-1f3291a9b3af	73
133342e5-2de3-4716-9137-1cad6f68c219	131
134e3804-6600-4b91-ab59-5ccc36b172c7	538
135e7616-54ba-4aa7-aebb-09003f5b54a6	12
1321227c-a885-4f7e-9953-5e8a958f6cb0	372
138cf490-f020-4288-aed9-9e2908b27c3d	10
138d2644-15f2-430b-9edb-57681d785b88	10
13a4b49b-f57c-461a-9330-21d2a597eb54	93
13988ef8-d9e1-47bb-81f6-ad5aaea12f6e	131
13aebca2-08ae-4b2a-9b52-a1eb00d276e3	40
13b3bd6e-7144-466e-ae4f-a37779fd5906	538
13b9e568-3015-4937-8e5a-7903f88d6cd3	131
13d253e5-6b93-4640-8c98-d7d74d63632a	73
13d3ec82-fdc0-4640-98ce-57d28483ea4c	95
13ecbd76-da32-4fc4-8d8d-ba85b71fd0a7	73
13fbe699-0d4a-4f06-9441-57b843cc75fd	399
14051895-1e3c-40aa-b07a-9a600c743253	91
14534de7-4a7b-469b-8451-5bda30ac96b6	58
143ea8bb-bf32-4c0f-8204-d95d97214c11	131
14072609-f43f-482d-a7d4-fae5bd9510f0	73
1476921a-ea8e-43cd-860e-95162df00594	410
14913dae-2ac7-412c-9097-36b0dab1916c	73
1473f11c-f093-4226-b43d-769fbe75a462	544
14a321f8-c44e-4752-9d37-16353aad3cb0	95
14bf1a04-5376-4323-a26b-982e0a2a4a68	12
14ca074a-80e2-4491-84fa-74ee2c670315	131
14f54dbb-eed0-452b-9d3d-69c89674a941	-
1508004e-fd9a-4167-b5d6-fb9b819a541d	73
152210e4-f7b5-466c-b466-d0b69cb0d7ad	73
15473405-3545-4b0d-bdcf-3b331fc75407	357
155f9706-8134-48de-af45-0d0269a580ce	69
1548db2f-ef04-4cc9-9a11-c0e2463b3421	371
161110f8-bfc6-4b77-a674-6aedf8f95b89	88
15f62f5b-f0f0-4ae5-b6b4-372a4f3e17b7	95
15e083a4-71fa-4eff-9bb8-c421295d2b13	95
15ce177f-ee4e-426e-bb10-7687146d09f9	38
1625ddc9-17be-449c-b500-f3a199d5afd1	131
16873c0d-5d78-4584-972f-95d635d15200	162
1669d8c0-3133-4339-9d49-9e10e6bc5e64	5430
1648a8a9-b194-45ac-83ff-58d69de7132a	135
168d8c17-4c5c-4df2-8082-4e8170087c78	95
16b8b4dd-bc5e-4fb1-9291-1c3a1a0d5787	69
1692dc98-c664-4223-b79c-7be352ab35c2	95
16d44331-086e-4a5a-ade7-3a14d7bdcbcd	73
16d8b1ce-be42-4067-b825-785b289665d2	131
16e39555-e39d-4b56-84bd-56848d369ca6	38
16f7253f-a448-4d8d-b06d-80eca42a13e4	131
16e68f7d-770a-47b0-b388-937c659b9d58	355
170a7599-23a8-4ba6-9563-61b79fc30c4e	38
17084f17-eede-4adc-a691-5446b4e459f5	127
1711d917-a0f7-4cd6-bfb6-87862f3518f4	-
1740edc5-76b3-4909-8677-c325b964d614	131
17434571-46a9-42b5-b022-5ec5c06ea2fa	131
175db4fe-65a1-403d-9829-ba79f4acde2b	428
17597a5b-feae-4bdc-a1db-4dac0b2c603c	88
176a5ef0-a830-4cda-9002-1a8fca08d1ca	537
1777dedf-2452-4621-9f3f-c9a97cb2531a	10
17a333bf-81af-42f3-9220-30e63bd3d6c9	69
17a3c054-5a11-4a41-9f4c-cd992f5f5b0f	12
17b57f0b-2d18-479e-998a-a7a0b8499cbe	12
17c8844f-fe8a-4ce7-8439-b58d2392916d	73
17c78ccb-8923-4504-b8f6-d5fd8b9fb1a4	131
